unique_id,ds,cutoff,y,Naive,SeasonalNaive,AutoETS,AutoARIMA,LightGBM,AutoNBEATS,AutoNHITS,TimeGPT
10_72,2012-10-05,2012-09-28,121408.81,129930.09,126638.92,115738.18062700234,124127.59430799593,137377.1108718054,133815.81,119101.9,131764.84
10_72,2012-10-12,2012-09-28,113547.32,129930.09,117679.29,103796.01806644027,111406.11354298584,137238.5392785671,129181.36,116265.26,135422.45
10_72,2012-10-19,2012-09-28,101213.23,129930.09,145623.07,114949.01030907294,137754.16129343634,166057.58458050925,136170.69,120137.195,135268.06
10_72,2012-10-26,2012-09-28,121126.83,129930.09,148579.95,107208.59578230948,140034.15069587817,165916.70414188193,127295.48,116070.03,145302.44
13_90,2012-06-15,2012-06-08,122102.95,120491.7,118778.04,118488.60597307839,126709.88106384434,123830.51114837488,122435.46,119639.83,121768.18
13_90,2012-06-22,2012-06-08,113578.41,120491.7,108144.94,118488.60597307839,116076.78106384438,121119.07902048863,120955.266,115267.164,125770.52
13_90,2012-06-29,2012-06-08,113293.12,120491.7,111924.22,118488.60597307839,119856.06106384435,120452.01186440549,110192.0,111616.48,111256.79
13_90,2012-07-06,2012-06-08,120024.63,120491.7,110402.62,118488.60597307839,118334.46106384436,120709.35784009803,118229.78,113430.336,119205.445
13_90,2012-07-13,2012-07-06,115543.32,120024.63,116573.62,117559.7435288541,122786.01354866356,123989.25471736758,121420.016,119620.05,117845.836
13_90,2012-07-20,2012-07-06,121651.3,120024.63,115580.97,117559.7435288541,121793.36354866356,119522.55944678772,119916.9,117086.44,115729.49
13_90,2012-07-27,2012-07-06,111635.67,120024.63,106731.48,117559.7435288541,112943.87354866356,111776.91902971531,114769.48,120202.83,118298.8
13_90,2012-08-03,2012-07-06,118880.78,120024.63,118023.51,117559.7435288541,124235.90354866353,124025.53541274591,118723.9,113064.0,118053.086
13_90,2012-08-10,2012-08-03,117598.61,118880.78,117293.1,117130.28420781327,120697.88166271876,116663.57888719896,117173.59,121493.92,118332.52
13_90,2012-08-17,2012-08-03,126591.48,118880.78,125182.44,117130.28420781327,128587.22166271874,123069.75092732305,119951.27,124920.62,115957.27
13_90,2012-08-24,2012-08-03,118548.58,118880.78,124570.63,117130.28420781327,127975.41166271876,123913.06663785524,115036.3,129992.71,121031.055
13_90,2012-08-31,2012-08-03,120221.14,118880.78,126932.75,117130.28420781327,130337.53166271876,128348.29861743658,115182.91,114345.17,119955.336
13_90,2012-09-07,2012-08-31,126632.77,120221.14,120231.85,119631.76623700213,117073.25542625031,124017.82694828085,123428.88,119034.05,125427.64
13_90,2012-09-14,2012-08-31,121946.64,120221.14,127394.62,119631.76623700213,124236.02542625034,133303.76441082745,127777.4,121875.84,119801.28
13_90,2012-09-21,2012-08-31,124686.64,120221.14,119132.23,119631.76623700213,115973.63542625027,125906.52002295715,124607.695,119935.18,121223.02
13_90,2012-09-28,2012-08-31,120890.02,120221.14,124090.48,119631.76623700213,120931.8854262503,130272.62718605285,122499.24,114294.72,118233.16
13_90,2012-10-05,2012-09-28,130632.28,120890.02,136150.82,122029.37779218562,135640.09582109223,133186.69729096047,127505.28,121414.516,124980.34
13_90,2012-10-12,2012-09-28,129858.28,120890.02,126101.13,122029.37779218562,125590.4058210922,128195.90700269128,122935.63,121901.13,117942.39
13_90,2012-10-19,2012-09-28,130456.3,120890.02,129683.06,122029.37779218562,129172.33582109219,130432.11561747149,126276.02,122170.36,117901.08
13_90,2012-10-26,2012-09-28,128116.96,120890.02,125507.96,122029.37779218562,124997.2358210922,128819.76321690083,122258.71,117965.62,129547.62
13_92,2012-06-15,2012-06-08,183228.69,179696.5,162202.48,170642.6648313892,182090.98728159934,182906.40107032997,173492.98,172293.06,175742.72
13_92,2012-06-22,2012-06-08,164442.14,179696.5,147612.67,170642.6648313892,167501.17728159938,172499.2519669433,174866.64,168009.23,181241.42
13_92,2012-06-29,2012-06-08,162573.23,179696.5,153900.12,170642.6648313892,173788.62728159936,170830.60095308104,160625.67,163729.06,155913.8
13_92,2012-07-06,2012-06-08,175273.27,179696.5,151160.86,170642.6648313892,171049.36728159932,171976.7983359101,178710.19,169174.98,170129.8
13_92,2012-07-13,2012-07-06,169695.57,175273.27,162174.55,170715.75689150742,180634.26843220202,181686.40581014197,181447.97,180357.19,169030.9
13_92,2012-07-20,2012-07-06,179823.4,175273.27,153972.35,170715.75689150742,172432.06843220198,170910.22145403622,181409.16,182021.1,166550.66
13_92,2012-07-27,2012-07-06,160703.97,175273.27,146783.63,170715.75689150742,165243.348432202,169414.73985987695,172722.2,190404.64,171479.45
13_92,2012-08-03,2012-07-06,171598.2,175273.27,163357.13,170715.75689150742,181816.848432202,186860.45329522018,166125.62,163322.31,170480.88
13_92,2012-08-10,2012-08-03,171785.37,171598.2,159494.55,170083.76544942893,175366.949210237,162597.97597394994,172790.33,179153.36,170860.78
13_92,2012-08-17,2012-08-03,182031.93,171598.2,165405.33,170083.76544942893,179397.72630176152,164317.37209591418,178814.77,183375.19,165969.12
13_92,2012-08-24,2012-08-03,168512.87,171598.2,158956.09,170083.76544942893,173411.63116663462,165264.14416223837,166575.03,193269.72,173573.88
13_92,2012-08-31,2012-08-03,167187.38,171598.2,160983.38,170083.76544942893,175324.82391450196,171085.5184572286,166715.78,159160.62,171350.25
13_92,2012-09-07,2012-08-31,182296.84,167187.38,159306.23,170791.55521631922,171065.43876698788,172790.91029813493,175473.05,173439.95,179545.45
13_92,2012-09-14,2012-08-31,176190.23,167187.38,172475.45,170791.55521631922,182898.229102045,184548.74000514,181971.61,173919.31,169121.72
13_92,2012-09-21,2012-08-31,179575.44,167187.38,159841.27,170791.55521631922,170585.55713608194,167973.98617318828,178985.52,173233.8,172541.98
13_92,2012-09-28,2012-08-31,169014.0,167187.38,171956.21,170791.55521631922,182623.15119064105,176142.29205344876,174972.28,156883.28,167904.2
13_92,2012-10-05,2012-09-28,181471.61,169014.0,194865.26,174087.60155866007,208124.10350927804,192434.49240081018,185054.69,175291.61,178353.66
13_92,2012-10-12,2012-09-28,184760.29,169014.0,174861.48,174087.60155866007,182677.15260838874,178818.56912580607,177552.77,174253.17,165480.81
13_92,2012-10-19,2012-09-28,184451.36,169014.0,176631.51,174087.60155866007,186275.95932586092,180715.04554597937,186738.16,175097.17,165290.14
13_92,2012-10-26,2012-09-28,183483.92,169014.0,165500.6,174087.60155866007,174530.6235907031,173902.52729751408,174825.14,165956.86,185185.47
13_95,2012-06-15,2012-06-08,164625.75,161545.18,154514.18,156909.15049641047,175797.02694346255,171523.10520054892,165157.5,157140.27,157832.27
13_95,2012-06-22,2012-06-08,159097.45,161545.18,145546.87,156909.15049641047,166829.71694346252,163244.82242284523,162551.86,153676.06,162844.2
13_95,2012-06-29,2012-06-08,160828.21,161545.18,154699.15,156909.15049641047,175981.99694346255,168057.81842307327,152154.42,151474.33,154482.16
13_95,2012-07-06,2012-06-08,178572.1,161545.18,150708.83,156909.15049641047,171991.67694346255,168022.1116623735,163109.08,159701.48,159053.23
13_95,2012-07-13,2012-07-06,157077.34,178572.1,154220.06,169112.13940192785,172471.08966566395,179671.23471766812,167057.81,176629.69,168996.48
13_95,2012-07-20,2012-07-06,161026.4,178572.1,154310.6,169112.13940192785,172561.629665664,176032.88844052592,166695.95,169497.5,156546.78
13_95,2012-07-27,2012-07-06,149193.75,178572.1,140511.11,169112.13940192785,158762.13966566397,164424.61056695756,162815.14,170943.97,164151.3
13_95,2012-08-03,2012-07-06,155704.45,178572.1,147057.83,169112.13940192785,165308.85966566403,175973.69563777698,158590.6,160457.75,164116.36
13_95,2012-08-10,2012-08-03,157892.86,155704.45,148875.78,155919.87494776424,157980.45478990834,157681.87895470022,156683.92,158241.92,161401.66
13_95,2012-08-17,2012-08-03,159904.77,155704.45,147497.03,155919.87494776424,156601.70478990825,155809.5508903179,150340.83,153181.55,156452.03
13_95,2012-08-24,2012-08-03,148855.22,155704.45,146692.13,155919.87494776424,155796.80478990826,164775.46676290297,151211.97,158066.3,158981.0
13_95,2012-08-31,2012-08-03,152271.8,155704.45,151999.7,155919.87494776424,161104.3747899083,168048.5892366579,150795.67,149292.1,162052.19
13_95,2012-09-07,2012-08-31,153517.31,152271.8,140673.12,153628.08199173227,144974.39715476937,151709.21047453344,157044.27,160218.64,148872.31
13_95,2012-09-14,2012-08-31,140257.94,152271.8,144877.75,153628.08199173227,149179.0271547694,156179.44315095848,152897.94,154257.95,142532.81
13_95,2012-09-21,2012-08-31,144488.89,152271.8,136196.93,153628.08199173227,140498.20715476933,148642.4064833496,151336.14,160200.22,144944.25
13_95,2012-09-28,2012-08-31,134396.52,152271.8,136320.32,153628.08199173227,140621.59715476935,149303.80749029116,142048.69,138212.53,141437.25
13_95,2012-10-05,2012-09-28,140831.65,134396.52,146504.82,141650.85054638897,148870.5344241248,144842.96758957286,141013.08,144684.12,146979.69
13_95,2012-10-12,2012-09-28,135555.41,134396.52,134564.08,141650.85054638897,136929.7944241248,135937.46577964548,137507.14,138954.7,130703.47
13_95,2012-10-19,2012-09-28,137768.88,134396.52,140546.86,141650.85054638897,142912.5744241248,140664.147067598,137097.86,141868.5,131900.72
13_95,2012-10-26,2012-09-28,127416.33,134396.52,126575.61,141650.85054638897,128941.32442412479,127708.4545052579,132090.45,129387.14,140962.17
14_92,2012-06-15,2012-06-08,160550.27,206575.9,174197.72,185176.29991898252,173653.6970537413,193815.0400506535,182220.28,169407.28,179924.48
14_92,2012-06-22,2012-06-08,134236.16,206575.9,166873.16,185159.77534216523,174186.2064918965,200507.71639522957,172233.86,170530.11,190317.92
14_92,2012-06-29,2012-06-08,135790.38,206575.9,175468.71,185146.5556807114,179013.53270810127,203143.34118106248,160961.78,181292.16,177373.27
14_92,2012-07-06,2012-06-08,166956.91,206575.9,188688.12,185135.97995154833,194040.17002059074,220946.07015931047,204386.88,210506.33,202003.64
14_92,2012-07-13,2012-07-06,137087.77,166956.91,168959.37,169136.83655897944,153454.76530101037,149030.66795082454,155586.84,152549.5,159395.66
14_92,2012-07-20,2012-07-06,141112.33,166956.91,154140.9,168893.15352870274,136124.7230774698,126134.80643360139,127740.266,147390.98,161607.53
14_92,2012-07-27,2012-07-06,129580.31,166956.91,158816.24,168698.16922955977,141813.1343625626,125311.78398407483,129310.06,147507.98,161841.14
14_92,2012-08-03,2012-07-06,156774.74,166956.91,197416.29,168542.15148442137,180004.55051199687,163948.05312697968,143179.38,148223.27,177997.67
14_92,2012-08-10,2012-08-03,163284.81,156774.74,174877.08,152424.67377134587,172991.03767652292,137617.10935869245,176538.2,158186.2,160027.0
14_92,2012-08-17,2012-08-03,149472.75,156774.74,170690.98,152200.52424024683,161784.9130646378,138344.8232877954,139376.08,146857.4,142355.88
14_92,2012-08-24,2012-08-03,145009.72,156774.74,241120.0,152021.2046153676,234800.00344678469,171513.36698650592,134943.97,172580.55,171023.19
14_92,2012-08-31,2012-08-03,138589.09,156774.74,149419.91,151877.7489154642,145282.8164674641,123479.02031689144,127037.28,125497.25,155671.75
14_92,2012-09-07,2012-08-31,190579.72,138589.09,214448.96,149124.06297229519,180974.25176445162,170900.09842374886,177088.86,168039.1,181585.12
14_92,2012-09-14,2012-08-31,146630.33,138589.09,177437.5,148981.72136312397,141338.51799296594,152391.4291273019,154652.16,157990.56,157482.12
14_92,2012-09-21,2012-08-31,148417.22,138589.09,178288.71,148867.848075787,135673.60434643796,159697.47255636638,156410.19,188241.92,171143.97
14_92,2012-09-28,2012-08-31,139707.8,138589.09,172057.5,148776.74944591743,151992.44210711378,146218.1293548469,120458.09,110274.484,158307.06
14_92,2012-10-05,2012-09-28,169519.23,139707.8,221834.28,151433.41667053197,191242.95246560356,174818.46548657963,170684.97,172814.1,153757.73
14_92,2012-10-12,2012-09-28,156174.21,139707.8,187911.15,151354.67047863075,156629.30105909082,157728.54075748194,156150.39,156630.14,164643.03
14_92,2012-10-19,2012-09-28,152511.55,139707.8,181127.71,151291.6730923514,150117.03216884125,153144.46328255459,137307.86,151137.55,155137.14
14_92,2012-10-26,2012-09-28,164464.02,139707.8,183447.07,151241.27483711886,152329.9019571407,156294.788062133,133536.8,143153.72,175975.58
14_95,2012-06-15,2012-06-08,136451.11,152203.57,161089.9,143416.3663110319,153361.74757535866,145229.16080416317,144689.48,138124.7,148698.67
14_95,2012-06-22,2012-06-08,118598.34,152203.57,157320.25,143416.3663110319,146272.64982048416,149731.14708777767,148216.83,140252.8,150199.53
14_95,2012-06-29,2012-06-08,118370.6,152203.57,162085.04,143416.3663110319,151988.27674815015,152738.7655215117,140357.11,146087.58,154710.75
14_95,2012-07-06,2012-06-08,140660.4,152203.57,167571.96,143416.3663110319,157202.83491878086,164381.16383855866,152355.77,163172.0,159820.58
14_95,2012-07-13,2012-07-06,115259.58,140660.4,157244.18,133741.07913247866,145136.92533333332,129786.7798534394,127462.52,128866.87,136732.39
14_95,2012-07-20,2012-07-06,115656.8,140660.4,151876.28,133741.07913247866,139769.02533333332,122640.55950831233,117497.0,125516.7,133844.56
14_95,2012-07-27,2012-07-06,109767.88,140660.4,144543.39,133741.07913247866,132436.13533333334,119776.80759610396,125830.9,128959.08,133345.97
14_95,2012-08-03,2012-07-06,120581.8,140660.4,158852.92,133741.07913247866,146745.66533333334,140422.8944423397,128687.67,132014.27,145561.89
14_95,2012-08-10,2012-08-03,126159.0,120581.8,145969.16,120679.78252652542,111929.6730300421,115492.55182358863,129119.945,116068.836,129254.62
14_95,2012-08-17,2012-08-03,117213.66,120581.8,142079.44,120679.78252652542,108447.15463152656,117139.28517182666,103801.266,110155.86,113046.5
14_95,2012-08-24,2012-08-03,113004.06,120581.8,206433.98,120679.78252652542,173705.20381492947,150307.82887053717,107082.484,107831.836,140168.52
14_95,2012-08-31,2012-08-03,107728.92,120581.8,126671.85,120679.78252652542,95188.40894926433,102273.48220092269,102275.22,108222.28,129401.23
14_95,2012-09-07,2012-08-31,131721.03,107728.92,161246.98,115477.19015266167,122863.05293304633,147093.35034484678,131156.25,127767.11,131278.27
14_95,2012-09-14,2012-08-31,110840.96,107728.92,143460.54,115477.19015266167,94489.58016309782,126403.1271251634,119018.234,122038.11,120257.97
14_95,2012-09-21,2012-08-31,110174.12,107728.92,137095.63,115477.19015266167,98067.55719434505,129817.57755252182,126997.9,148204.45,130487.87
14_95,2012-09-28,2012-08-31,105376.06,107728.92,134772.5,115477.19015266167,93957.73008553532,116656.1354629359,93427.55,86851.77,123251.37
14_95,2012-10-05,2012-09-28,118491.68,105376.06,152106.66,112657.2689049724,115917.87098040932,121753.26993344916,122902.9,123754.02,119693.2
14_95,2012-10-12,2012-09-28,109851.09,105376.06,136819.1,112657.2689049724,105253.61907067968,113270.24530204553,112890.05,115498.055,122403.45
14_95,2012-10-19,2012-09-28,109526.8,105376.06,133454.08,112657.2689049724,102521.58466403492,113338.74770676508,99327.95,113502.33,119613.04
14_95,2012-10-26,2012-09-28,121352.61,105376.06,137222.81,112657.2689049724,106441.02158446366,114523.94795767193,101416.0,106279.3,131383.14
19_92,2012-06-15,2012-06-08,106379.71,118265.95,101054.29,104424.75699881875,103243.23099014364,105606.9474280943,106691.62,101707.64,111159.19
19_92,2012-06-22,2012-06-08,98809.67,118265.95,102780.56,100320.19264229859,105366.4907604944,111503.70912293233,101042.46,100572.58,116273.56
19_92,2012-06-29,2012-06-08,104051.63,118265.95,110543.34,111436.81887902363,113129.2707604944,113468.17889429948,101003.35,110802.56,111686.98
19_92,2012-07-06,2012-06-08,117793.25,118265.95,110345.51,108123.46722507243,112931.44076049441,115718.48514033345,118259.89,120002.086,119646.71
19_92,2012-07-13,2012-07-06,105583.45,117793.25,103799.37,102621.9798319742,103654.7946125822,110513.92508432893,106160.51,107853.625,106446.22
19_92,2012-07-20,2012-07-06,101651.54,117793.25,96370.86,97969.57502815107,97303.70264354341,105216.95978185371,93941.984,102996.31,103978.89
19_92,2012-07-27,2012-07-06,98813.96,117793.25,97555.81,97745.12568099104,98488.65264354339,103455.24808818812,105976.88,106521.766,103493.35
19_92,2012-08-03,2012-07-06,108686.93,117793.25,112772.53,113957.57925697743,113705.3726435434,118444.76067378969,110669.555,108879.08,110038.74
19_92,2012-08-10,2012-08-03,118870.4,108686.93,112962.42,112685.0646740031,115221.04050427499,104074.1664550966,118452.586,111452.04,109676.82
19_92,2012-08-17,2012-08-03,109323.61,108686.93,106001.69,104460.28042930328,108315.26010969462,99507.59032198774,99740.6,101949.234,103059.08
19_92,2012-08-24,2012-08-03,116413.39,108686.93,119582.87,115933.33845242254,122208.03748248234,123648.56177857469,97845.01,100328.016,116466.6
19_92,2012-08-31,2012-08-03,114468.21,108686.93,128390.79,124381.07311066984,128418.56470740655,119406.00767650537,102959.05,106951.93,113733.85
19_92,2012-09-07,2012-08-31,125067.37,114468.21,133409.6,130678.15523063201,138365.63968685584,125291.81755995403,130862.7,131437.28,123677.41
19_92,2012-09-14,2012-08-31,117189.75,114468.21,113103.31,112087.77350726585,111967.30168644074,117404.68143917348,121798.805,123987.086,112469.36
19_92,2012-09-21,2012-08-31,111963.98,114468.21,107552.16,106105.66943059537,106416.15168644075,122576.27717574438,118562.64,128378.08,110935.12
19_92,2012-09-28,2012-08-31,110587.33,114468.21,110047.61,109477.41683778075,108911.60168644076,118265.90079159744,113857.56,110894.56,112319.7
19_92,2012-10-05,2012-09-28,121725.85,110587.33,130941.16,128205.43623483648,129438.30754752745,131891.2503528073,123840.06,117859.39,112568.65
19_92,2012-10-12,2012-09-28,122328.76,110587.33,116911.62,114591.86534217473,116364.3765671904,122546.07852195484,114169.56,118312.49,114422.67
19_92,2012-10-19,2012-09-28,111288.85,110587.33,118840.84,113975.9826921822,118293.5965671904,126063.7511957499,111637.83,113650.83,111030.19
19_92,2012-10-26,2012-09-28,109033.04,110587.33,111812.21,109346.7609100602,111264.9665671904,113746.70690481333,114482.22,117417.49,109816.625
1_92,2012-06-15,2012-06-08,153216.18,153676.53,131903.99,140850.80856948748,146488.99411644146,154311.7621066651,149941.2,145789.11,136589.47
1_92,2012-06-22,2012-06-08,126763.7,153676.53,112913.22,121729.9973245672,123902.02668071099,138897.80401805826,131347.39,133245.25,149660.9
1_92,2012-06-29,2012-06-08,125650.26,153676.53,120155.9,132269.04454639516,128673.82778546875,150227.60802213615,129300.695,132158.81,142276.48
1_92,2012-07-06,2012-06-08,156581.44,153676.53,134861.72,146917.71004691496,147371.60657766953,164258.5317711275,149487.92,146826.12,146134.9
1_92,2012-07-13,2012-07-06,148531.93,156581.44,131780.79,141152.01288873926,152036.15904019814,151689.73550190078,157647.56,154890.45,141921.75
1_92,2012-07-20,2012-07-06,134590.45,156581.44,118968.09,127576.07152852033,133930.71234425998,138497.88771163358,139724.19,151649.31,141292.5
1_92,2012-07-27,2012-07-06,123464.47,156581.44,111929.27,121607.43984431846,122846.4458146947,129936.03857111401,130989.44,149832.9,143674.88
1_92,2012-08-03,2012-07-06,141450.76,156581.44,137310.46,149879.88715219242,155208.8643087187,148083.71168040222,150286.92,136200.1,147235.81
1_92,2012-08-10,2012-08-03,150012.51,141450.76,139822.31,148657.17211353205,153717.80359392555,144912.2819778678,150554.72,157249.28,137535.9
1_92,2012-08-17,2012-08-03,149962.1,141450.76,132026.43,137840.6024817152,147293.79191555438,134750.12162037933,143737.69,159416.92,135824.1
1_92,2012-08-24,2012-08-03,127017.65,141450.76,117474.47,126696.42387748028,129879.98333806577,121337.3262851552,126622.58,172022.17,140273.16
1_92,2012-08-31,2012-08-03,132574.48,141450.76,131142.28,142802.8876620937,139877.39543419058,134427.5492877504,127533.77,122002.34,141058.94
1_92,2012-09-07,2012-08-31,160693.21,132574.48,144592.43,152100.97605483068,152906.05465324607,148806.5660085972,155163.95,153684.25,141884.67
1_92,2012-09-14,2012-08-31,148861.17,132574.48,143870.73,148649.71535695638,157366.37765962147,153980.46478655437,148096.78,152697.53,146160.55
1_92,2012-09-21,2012-08-31,139354.6,132574.48,122462.32,127158.99607598134,133113.81072271668,137972.80276917023,128327.97,162951.95,140666.58
1_92,2012-09-28,2012-08-31,122434.07,132574.48,120506.66,130225.8179371518,126460.47325940245,134719.29993430866,121098.234,111095.53,133327.45
1_92,2012-10-05,2012-09-28,159459.88,122434.07,155370.71,160957.25076317257,165678.72753142606,152061.4428495947,163141.1,143585.64,148178.14
1_92,2012-10-12,2012-09-28,156944.65,122434.07,145457.88,152229.97480518138,153915.46644741515,144989.49669457113,159309.72,156170.61,144159.27
1_92,2012-10-19,2012-09-28,146387.59,122434.07,134783.19,136983.9247201553,146636.73326469533,137971.2169645916,147140.73,137574.83,140738.3
1_92,2012-10-26,2012-09-28,132155.74,122434.07,125065.14,131475.9795882259,132196.76820539095,131969.4407388145,131440.7,120793.195,139158.88
1_95,2012-06-15,2012-06-08,140806.36,139857.1,135197.63,143013.78777224274,140317.01732394367,140770.69797596138,141267.97,135288.0,130711.086
1_95,2012-06-22,2012-06-08,124594.4,139857.1,121814.84,128572.5147153816,126934.22732394366,131535.82274114154,128261.96,126030.92,132039.67
1_95,2012-06-29,2012-06-08,131935.56,139857.1,128054.88,134253.14398285092,133174.26732394367,138362.18185994166,127075.18,126323.43,132990.05
1_95,2012-07-06,2012-06-08,148798.05,139857.1,133213.04,137700.76000030315,138332.42732394367,143914.0293825688,142676.0,140082.58,131344.4
1_95,2012-07-13,2012-07-06,129724.74,148798.05,127906.5,132356.0963068705,133124.23973333335,146667.38566663332,140005.8,135255.1,132908.66
1_95,2012-07-20,2012-07-06,126861.49,148798.05,121483.11,126242.26482025438,126700.84973333334,137620.71908484364,137566.38,134298.05,132771.6
1_95,2012-07-27,2012-07-06,121030.79,148798.05,117284.94,119597.3327460833,122502.67973333334,134525.87672764563,131322.12,128636.875,135574.27
1_95,2012-08-03,2012-07-06,134832.22,148798.05,138538.47,143249.82674207762,143756.20973333332,154739.48765077835,149710.23,141556.9,141050.66
1_95,2012-08-10,2012-08-03,137408.2,134832.22,138567.1,143268.79282807588,143612.2481012658,136933.95506592825,136976.56,141782.1,136363.95
1_95,2012-08-17,2012-08-03,136264.68,134832.22,133260.84,136753.89086652792,138305.98810126583,129964.09865763862,135276.5,144236.19,133104.08
1_95,2012-08-24,2012-08-03,118845.34,134832.22,122721.92,127748.00385463535,127767.06810126582,122959.86910924467,148383.81,152237.66,133494.02
1_95,2012-08-31,2012-08-03,124741.33,134832.22,130446.34,135077.7718937515,135491.48810126583,132779.08648364816,122823.12,130211.15,135409.55
1_95,2012-09-07,2012-08-31,140657.4,124741.33,133762.77,136917.04461410324,138471.5657831325,134069.66812954677,132900.83,140616.95,134127.53
1_95,2012-09-14,2012-08-31,128542.73,124741.33,133939.4,136844.9246828476,138648.1957831325,141900.2495594594,128194.65,136727.25,128653.42
1_95,2012-09-21,2012-08-31,119121.35,124741.33,116165.28,122498.07681670632,120874.07578313252,127560.16798742894,117698.36,148728.06,123231.54
1_95,2012-09-28,2012-08-31,115326.47,124741.33,115663.78,120956.77944994262,120372.57578313253,124513.92486239952,113513.16,105727.56,122337.64
1_95,2012-10-05,2012-09-28,127009.22,115326.47,132805.42,134005.2339763302,137345.038045977,134095.48486517472,137291.97,128173.56,125302.89
1_95,2012-10-12,2012-09-28,124559.93,115326.47,125954.3,132258.0255430562,130493.91804597701,129580.74347926906,130228.11,126237.89,119649.33
1_95,2012-10-19,2012-09-28,123346.24,115326.47,116931.34,120064.99069933213,121470.958045977,122885.51663181766,120091.1,124332.87,119964.44
1_95,2012-10-26,2012-09-28,117375.38,115326.47,108018.21,113239.35589329532,112557.82804597702,114370.84607190604,112886.94,109864.72,119076.99
20_92,2012-06-15,2012-06-08,182448.55,188978.51,160850.97,170404.0876362058,174903.61569367087,175692.67093136229,180783.94,165475.11,169365.95
20_92,2012-06-22,2012-06-08,151023.66,188978.51,136790.65,146350.4217221423,150843.2956936708,164534.56356184464,155433.88,152548.64,176334.92
20_92,2012-06-29,2012-06-08,153806.02,188978.51,150608.02,166952.02938444377,164660.6656936708,175230.73636866471,140153.23,155076.69,158478.22
20_92,2012-07-06,2012-06-08,181325.94,188978.51,166809.86,176922.44738075353,180862.50569367083,182674.43902116764,174297.25,176648.95,160762.36
20_92,2012-07-13,2012-07-06,191882.2,181325.94,169013.07,178241.81613683922,182588.32893398873,187153.26130724026,181347.45,183209.02,166779.98
20_92,2012-07-20,2012-07-06,161955.74,181325.94,144966.99,155727.19824737834,158542.24893398868,167308.39754655166,158016.03,169879.69,156616.61
20_92,2012-07-27,2012-07-06,149301.45,181325.94,139187.44,150425.0687751845,152762.69893398872,163265.1015787752,158244.56,173064.61,158224.66
20_92,2012-08-03,2012-07-06,169471.46,181325.94,172936.71,177401.01053346662,186511.96893398877,188837.50762290336,165990.88,164638.78,164347.4
20_92,2012-08-10,2012-08-03,194032.48,169471.46,173616.04,188813.957302612,185816.72717789127,172830.43960230812,190532.23,199316.23,175123.3
20_92,2012-08-17,2012-08-03,178603.53,169471.46,154544.41,162098.12400462953,166745.0971778913,152076.11913389456,168294.6,179893.58,163979.72
20_92,2012-08-24,2012-08-03,159088.13,169471.46,144088.38,153698.30158204556,156289.06717789127,147525.9453775722,152170.22,186712.05,166475.72
20_92,2012-08-31,2012-08-03,159049.57,169471.46,164320.09,178574.82669876065,176520.77717789123,166256.68804145174,152978.67,150783.8,173485.9
